ID,Lifecycle phase (primary),Cust Journey Phase,Level,Type,KPI,Description,Owner,Why important?,Do we measure it?,How do/should we measure it?,Where store?,Review cadence,Influences,Initiatives,Notes
1,0. Overarching,,Biz Goal KPI,n.a.,Revenue growth,Year-over-year top-line revenue increase,Finance / Paul (Global CX),The ultimate measure of whether the business is healthy and growing,Yes,,,,,,
2,0. Overarching,,Biz Goal KPI,n.a.,Customer net growth,New customers minus churned customers in period,Sales / Tuhin (CX & Marketing),Shows whether the customer base is expanding or contracting -- a leading signal for future revenue,Yes,needs to be automated with CRM,PowerBi,"Monthly review with ZBH,SM,TM",Customer creation,One customer per month per TM- Wave creation,
3,0. Overarching,,Biz Goal KPI,n.a.,Churn rate,% of customers lost in a given period,Sales / CX,Indicates customer satisfaction; competitive pressure; and revenue at risk,Yes,"Region specific manual tracking. Need to automate the manual tracking, TM needs to analyse data","manual excel, CCR report (CA provides)","Monthly review with ZBH,SM","Margin, vol, Business strategy kpis","Qtlry Sales incentive program, monthly incentive to franchisee,",
4,0. Overarching,,Biz Goal KPI,n.a.,CLTV,Total revenue expected from a customer over their entire relationship,Finance,Prioritizes retention over acquisition; justifies CX investment,No,"CLT currently available in ZNCL, measurement to be setup via CRM",,,,,
5,0. Overarching,,Biz Goal KPI,n.a.,Margin per customer,Revenue per customer minus cost-to-serve,Finance,Reveals which segments are profitable; guides resource allocation,Yes,"Highlighting Negative Margin Customer, Low Margin Customer","PBI , SAP",weekly / Monthly,,,
6,0. Overarching,,Biz Goal KPI,n.a.,Market share,Supergas share of industrial LPG in served regions,Marketing / Strategy,Contextualizes growth against the addressable market; important for strategic planning,No,Challenges in getting the market share,,,,,
7,1. Orientation,,KPIs,Behavioral,Cold-to-qualified conversion rate,% of cold contacts that agree to a first discovery meeting or a technical site audit,"Marketing (Ashee, Pandiaraj)",Measures marketing and sales effectiveness at the very top of the industrial sales funnel,Yes,"AS-IS: Manual Excel / Maadhyam 
To Be: will automated in CRM",Maadhyam/STF --> CRM,No,Customer Creation,One customer per month per TM- Wave creation,
8,1. Orientation,,KPIs,Behavioral,Qualified-to-client conversion rate,% of qualified leads that become signed customers,Sales (Avinash / Shourajit)/ Marketing,Each qualified lead represents significant sales investment; low close rate means wasted pipeline effort,Manthan tracking is in process,will be automated in CRM,STF --> CRM,yes,Customer Creation,One customer per month per TM- Wave creation,
9,1. Orientation,,KPIs,Experience,Sales transparency & trust score,"Post-proposal survey question: ""Did the Supergas team provide clear, unbiased information regarding the cost-benefit analysis of switching your fuel source?""",CX (Akhil)  / Sales/ Technical team,Switching fuel sources is a high-risk decision for industrial buyers; perceived trust directly determines willingness to convert,No,Feedback survey to be added through CRM,,,Customer creation and customer retention,,
10,1. Orientation,,KPIs,Experience,Consultative capability score,"Post-proposal survey question: ""How effectively did our engineering team address your specific manufacturing energy needs and transition concerns?""",CX (Akhil) / Sales,The engineering team's ability to address specific energy needs is the core value proposition in industrial LPG,No,Feedback survey to be added through CRM,,,Customer creation and customer retention,,
11,1. Orientation,,KPIs,Operational,Lead-to-deal velocity,Total business days from the moment an industrial lead is qualified to the moment the formal contract is signed,"Sales (Avinash / Shourajit)/ ,marketing",Industrial buyers compare multiple suppliers; speed from qualification to signed contract is a competitive differentiator,Yes,will be automated through CRM,STF --> CRM,yes,Customer Creation,One customer per month per TM- Wave creation,
12,1. Orientation,Awareness,Metrics,Operational,Cold reachout volume,Total cold reachouts by SHV by channel,"Marketing (Ashee, Pandiaraj)","Start of funnel, leads directly to new customers",Yes,will be automated through CRM,STF --> CRM,yes,Customer Creation,One customer per month per TM- Wave creation,
13,1. Orientation,Consideration,Metrics,Behavioral,Inquiry volume by channel,Total incoming inquiries by source,"Marketing (Ashee, Pandiaraj)",Volume signal; low volume means pipeline is drying up,Yes,Manual Excel / Maadhyam,Maadhyam --> CRM,yes,Lead Creation,One customer per month per TM- Wave creation,
14,1. Orientation,Consideration,Metrics,Operational,Unanswered lead volume,Total count of unique unmapped interactions that reach out but leave without an interaction,"Marketing (Ashee, Pandiaraj)",Shows possible leads that we are missing,Yes,"Industrial: Manual Excel 
Retail: No
To be: should automate in CRM via CTA link (phone call)",Excel --> CRM,NO,Lead Creation,One customer per month per TM- Wave creation,
15,1. Orientation,Consideration,Metrics,Behavioral,Form-type error rate,Total of inquiries from industrial clients that come from an incorrect form or phone number,"Marketing (Ashee, Pandiaraj)",Shows clarity of contact channels for industrial type customers ,Yes,"Industrial: Manual Excel 
Retail: No
To be: should automate in CRM via CTA link (phone call)",Excel --> CRM,NO,Lead Creation,One customer per month per TM- Wave creation,
16,1. Orientation,Consideration,Metrics,Operational,Lead source breakdown,% of qualified leads by original source,"Marketing (Ashee, Pandiaraj)",Reveals which channels produce quality leads not just volume,Yes,Manual Excel / Maadhyam,Maadhyam --> CRM,yes,Lead Creation,One customer per month per TM- Wave creation,
17,1. Orientation,Consideration,Metrics,Operational,Lead-to-quote velocity,Total business days from the moment an industrial lead is qualified to the moment the formal technical-commercial proposal is sent,Sales (Avinash / Shourajit)/ marketing,Industrial buyers comparing suppliers will go with whoever moves fastest; response time is a competitive differentiator,Yes,will be automated in CRM,STF --> CRM,yes,Customer Creation,One customer per month per TM- Wave creation,
18,1. Orientation,Consideration,Metrics,Operational,Proposal redline & revision rate,The number of times a commercial proposal or Gas Supply Agreement (GSA) goes back and forth due to client objections,Sales (Avinash / Shourajit)  / Operations,Frequent revision cycles signal misalignment between what sales promises and what operations can deliver,No,"Automation - CRM, Monthly review required",,,,,
19,1. Orientation,Consideration,Metrics,Operational,Technical feasibility turnaround time,The net days from the first industrial site inspection to the delivery of the engineering feasibility report,Engineering  (Gajadharane) / Technical team,The engineering report is a critical trust milestone; slow turnaround undermines perceived technical competence,No,CRM- Pre sale deliverable tracker,SAP,,Customer satisfaction,,
20,1. Orientation,Consideration,Metrics,Behavioral,Site audit access response time,How many days it takes for the prospective client to grant your engineers physical access to their plant for the initial energy audit,Technical (Gajadharane) ,Separates customer-caused delay from internal delay -- necessary to measure your own sales velocity accurately,No,CRM - Pre sale deliverable tracker,SAP,,Customer satisfaction,,
21,1. Orientation,Decision,Metrics,Behavioral,Application abandonment rate,% of prospects who start but don't complete the application/contract process,Marketing/ Sales (Avinash / Shourajit),Flags friction in paperwork; KYC; or compliance steps,"Lost prospect is reviewed,","Manual tracking, this will get covered in CRM",STF --> CRM,Partial,Customer Creation,One customer per month per TM- Wave creation,
